"date","time","open","high","low","close","volume","OI"
06/04/2012,16:00,1278.29,1282.55,1266.74,1278.18,2870661,0
06/05/2012,16:00,1277.82,1287.62,1274.16,1285.50,2471477,0
06/06/2012,16:00,1285.61,1315.13,1285.61,1315.13,2935668,0
06/07/2012,16:00,1316.15,1329.05,1312.68,1314.99,2834592,0
06/08/2012,16:00,1314.99,1325.81,1307.77,1325.66,2350521,0
06/11/2012,16:00,1325.72,1335.52,1307.73,1308.93,2404117,0
06/12/2012,16:00,1309.40,1324.31,1306.62,1324.18,2490610,0
06/13/2012,16:00,1324.02,1327.28,1310.51,1314.88,2498594,0
06/14/2012,16:00,1314.88,1333.68,1314.14,1329.10,2645176,0
06/15/2012,16:00,1329.19,1343.32,1329.19,1342.84,2958569,0
06/18/2012,16:00,1342.42,1348.22,1334.46,1344.78,2289260,0
06/19/2012,16:00,1344.83,1363.46,1344.83,1357.98,2719085,0
06/20/2012,16:00,1358.04,1361.57,1346.45,1355.69,2678468,0
06/21/2012,16:00,1355.43,1358.27,1324.41,1325.51,2920611,0
06/22/2012,16:00,1325.92,1337.82,1325.92,1335.02,2533087,0
06/25/2012,16:00,1334.90,1334.90,1309.27,1313.72,2374054,0
06/26/2012,16:00,1314.09,1324.24,1310.30,1319.99,2434079,0
06/27/2012,16:00,1320.71,1334.40,1320.71,1331.85,2303601,0
06/28/2012,16:00,1331.52,1331.52,1313.29,1329.04,2702488,0
06/29/2012,16:00,1330.12,1362.17,1330.12,1362.16,3117412,0
07/02/2012,16:00,1362.33,1366.35,1355.70,1365.51,2354824,0
07/03/2012,16:00,1365.51,1374.81,1363.53,1374.02,1417875,0
07/05/2012,16:00,1373.72,1373.85,1363.02,1367.58,1984854,0
07/06/2012,16:00,1367.09,1367.09,1348.03,1354.68,1963026,0
07/09/2012,16:00,1354.66,1354.87,1346.65,1352.46,1973752,0
07/10/2012,16:00,1352.96,1361.54,1336.27,1341.47,2432113,0
07/11/2012,16:00,1341.40,1345.00,1333.25,1341.45,2423662,0
07/12/2012,16:00,1341.29,1341.29,1325.41,1334.76,2686533,0
07/13/2012,16:00,1334.81,1357.70,1334.81,1356.78,2254708,0
07/16/2012,16:00,1356.50,1357.26,1348.51,1353.64,2068744,0
07/17/2012,16:00,1353.68,1365.36,1345.07,1363.67,2578072,0
07/18/2012,16:00,1363.58,1375.26,1358.96,1372.78,2636215,0
07/19/2012,16:00,1373.01,1380.39,1371.21,1376.51,2917236,0
07/20/2012,16:00,1376.51,1376.51,1362.19,1362.66,2849850,0
07/23/2012,16:00,1362.34,1362.34,1337.56,1350.52,2524715,0
07/24/2012,16:00,1350.52,1351.53,1329.24,1338.31,2759988,0
07/25/2012,16:00,1338.35,1343.98,1331.50,1337.89,2734679,0
07/26/2012,16:00,1338.17,1363.13,1338.17,1360.02,3180301,0
07/27/2012,16:00,1360.05,1389.19,1360.05,1385.97,3096150,0
07/30/2012,16:00,1385.94,1391.74,1381.37,1385.30,2187633,0
07/31/2012,16:00,1385.27,1387.16,1379.17,1379.32,2585370,0
08/01/2012,16:00,1379.32,1385.03,1373.35,1375.14,2805317,0
08/02/2012,16:00,1375.13,1375.13,1354.65,1365.00,2779529,0
08/03/2012,16:00,1365.45,1394.16,1365.45,1390.99,2425393,0
08/06/2012,16:00,1391.04,1399.63,1391.04,1394.23,2114287,0
08/07/2012,16:00,1394.46,1407.14,1394.46,1401.35,2467444,0
08/08/2012,16:00,1401.23,1404.14,1396.13,1402.22,2221009,0
08/09/2012,16:00,1402.26,1405.95,1398.80,1402.80,2178541,0
08/10/2012,16:00,1402.58,1405.98,1395.62,1405.87,1930566,0
08/13/2012,16:00,1405.87,1405.87,1397.32,1404.11,1737143,0
08/14/2012,16:00,1404.36,1410.03,1400.60,1403.93,2046752,0
08/15/2012,16:00,1403.89,1407.73,1401.83,1405.53,2022978,0
08/16/2012,16:00,1405.57,1417.44,1404.15,1415.51,2365301,0
08/17/2012,16:00,1415.84,1418.71,1414.67,1418.16,2120950,0
08/20/2012,16:00,1417.85,1418.13,1412.12,1418.13,2019433,0
08/21/2012,16:00,1418.13,1426.68,1410.86,1413.17,2358136,0
08/22/2012,16:00,1413.09,1416.12,1406.78,1413.49,2161527,0
08/23/2012,16:00,1413.49,1413.49,1400.50,1402.08,2024565,0
08/24/2012,16:00,1401.99,1413.46,1398.04,1411.13,1902224,0
08/27/2012,16:00,1411.13,1416.17,1409.11,1410.44,1781123,0
08/28/2012,16:00,1410.44,1413.63,1405.59,1409.30,1859901,0
08/29/2012,16:00,1409.32,1413.95,1406.57,1410.49,1792076,0
08/30/2012,16:00,1410.08,1410.08,1397.01,1406.58,1690996,0
08/31/2012,16:00,1400.07,1413.09,1398.96,1406.58,1951530,0
09/04/2012,16:00,1406.54,1409.31,1396.56,1404.94,2090183,0
09/05/2012,16:00,1404.94,1408.81,1401.25,1403.44,2177980,0
09/06/2012,16:00,1403.74,1432.12,1403.74,1432.12,2808054,0
09/07/2012,16:00,1432.12,1437.92,1431.45,1437.92,2698983,0
09/10/2012,16:00,1437.92,1438.74,1428.98,1429.08,2375781,0
09/11/2012,16:00,1429.13,1437.76,1429.13,1433.56,2539995,0
09/12/2012,16:00,1433.56,1439.15,1432.99,1436.56,2453640,0
09/13/2012,16:00,1436.56,1463.76,1435.34,1459.99,3084176,0
09/14/2012,16:00,1460.07,1474.51,1460.07,1465.77,3422965,0
09/17/2012,16:00,1465.42,1465.63,1457.55,1461.19,2257362,0
09/18/2012,16:00,1461.19,1461.47,1456.13,1459.32,2387564,0
09/19/2012,16:00,1459.50,1465.15,1457.88,1461.05,2503093,0
09/20/2012,16:00,1461.05,1461.23,1449.98,1460.26,2474732,0
09/21/2012,16:00,1460.34,1467.07,1459.51,1460.15,3111286,0
09/24/2012,16:00,1459.76,1460.72,1452.06,1456.89,2166257,0
09/25/2012,16:00,1456.94,1463.24,1441.59,1441.59,2610359,0
09/26/2012,16:00,1441.60,1441.60,1430.53,1433.32,2545070,0
09/27/2012,16:00,1433.36,1450.20,1433.36,1447.15,2215979,0
09/28/2012,16:00,1447.13,1447.13,1435.60,1440.67,2384088,0
10/01/2012,16:00,1440.90,1457.14,1440.90,1444.49,2441983,0
10/02/2012,16:00,1444.99,1451.52,1439.01,1445.75,2318361,0
10/03/2012,16:00,1446.05,1454.30,1441.99,1450.99,2602196,0
10/04/2012,16:00,1451.08,1463.14,1451.08,1461.40,2599554,0
10/05/2012,16:00,1461.40,1470.96,1456.89,1460.93,2344902,0
10/08/2012,16:00,1460.93,1460.93,1453.10,1455.88,1693707,0
10/09/2012,16:00,1455.90,1455.90,1441.18,1441.48,2341925,0
10/10/2012,16:00,1441.48,1442.52,1430.64,1432.56,2340572,0
10/11/2012,16:00,1432.82,1443.90,1432.82,1432.84,2749806,0
10/12/2012,16:00,1432.84,1438.43,1425.53,1428.59,2390645,0
10/15/2012,16:00,1428.75,1441.31,1427.24,1440.13,2539417,0
10/16/2012,16:00,1440.31,1455.51,1440.31,1454.92,2593130,0
10/17/2012,16:00,1454.22,1462.20,1453.35,1460.91,2684503,0
10/18/2012,16:00,1460.94,1464.02,1452.63,1457.34,2799749,0
10/19/2012,16:00,1457.34,1457.34,1429.85,1433.19,3069972,0
10/22/2012,16:00,1433.21,1435.46,1422.06,1433.82,2364922,0
10/23/2012,16:00,1433.74,1433.74,1407.56,1413.11,2749072,0
10/24/2012,16:00,1413.20,1420.04,1407.10,1408.75,2550540,0
10/25/2012,16:00,1409.74,1421.12,1405.14,1412.97,2532554,0
10/26/2012,16:00,1412.97,1417.09,1403.28,1411.94,2453993,0
10/31/2012,16:00,1410.99,1418.76,1405.95,1412.16,2557076,0
11/01/2012,16:00,1412.20,1428.35,1412.20,1427.59,2807464,0
11/02/2012,16:00,1427.59,1434.27,1412.91,1414.20,2648011,0
11/05/2012,16:00,1414.20,1419.90,1408.13,1417.26,2048538,0
11/06/2012,16:00,1417.26,1433.38,1417.26,1428.39,2425442,0
11/07/2012,16:00,1428.27,1428.27,1388.14,1394.53,3203838,0
11/08/2012,16:00,1394.53,1401.23,1377.51,1377.51,2777355,0
11/09/2012,16:00,1377.55,1391.39,1373.03,1379.85,2539466,0
11/12/2012,16:00,1379.86,1384.87,1377.19,1380.03,1838873,0
11/13/2012,16:00,1380.03,1388.81,1371.39,1374.53,2498617,0
11/14/2012,16:00,1374.64,1380.13,1352.50,1355.49,2918410,0
11/15/2012,16:00,1355.41,1360.62,1348.05,1353.33,2767138,0
11/16/2012,16:00,1353.36,1362.03,1343.35,1359.88,3071130,0
11/19/2012,16:00,1359.88,1386.89,1359.88,1386.89,2496772,0
11/20/2012,16:00,1386.82,1389.77,1377.04,1387.81,2410524,0
11/21/2012,16:00,1387.79,1391.25,1386.39,1391.03,1823222,0
11/23/2012,16:00,1391.03,1409.16,1391.03,1409.15,954618,0
11/26/2012,16:00,1409.15,1409.15,1397.68,1406.29,2039988,0
11/27/2012,16:00,1406.29,1409.01,1398.03,1398.94,2333703,0
11/28/2012,16:00,1398.77,1410.31,1385.43,1409.93,2332739,0
11/29/2012,16:00,1409.96,1419.70,1409.04,1415.95,2357649,0
11/30/2012,16:00,1415.95,1418.86,1411.63,1416.18,2465876,0
12/03/2012,16:00,1416.34,1423.73,1408.46,1409.46,2230487,0
12/04/2012,16:00,1409.46,1413.14,1403.65,1407.05,2408743,0
12/05/2012,16:00,1407.05,1415.56,1398.23,1409.28,3015330,0
12/06/2012,16:00,1409.43,1413.95,1405.93,1413.94,2340697,0
12/07/2012,16:00,1413.95,1420.34,1410.90,1418.07,2214222,0
12/10/2012,16:00,1418.07,1421.64,1415.64,1418.55,2074051,0
12/11/2012,16:00,1418.55,1434.27,1418.55,1427.84,2684414,0
12/12/2012,16:00,1427.84,1438.59,1426.76,1428.48,2646845,0
12/13/2012,16:00,1428.48,1431.36,1416.00,1419.45,2325537,0
12/14/2012,16:00,1419.45,1419.45,1411.88,1413.58,2235504,0
12/17/2012,16:00,1413.54,1430.67,1413.54,1430.36,2449469,0
12/18/2012,16:00,1430.47,1448.00,1430.47,1446.79,2914776,0
12/19/2012,16:00,1446.79,1447.75,1435.80,1435.81,2579655,0
12/20/2012,16:00,1435.81,1443.70,1432.82,1443.69,2458270,0
12/21/2012,16:00,1443.67,1443.67,1422.58,1430.15,3361419,0
12/24/2012,16:00,1430.15,1430.15,1424.66,1426.66,877424,0
12/26/2012,16:00,1426.66,1429.42,1416.43,1419.83,1575736,0
12/27/2012,16:00,1419.83,1422.80,1401.80,1418.10,2013802,0
12/28/2012,16:00,1418.10,1418.10,1401.58,1402.43,1666501,0
12/31/2012,16:00,1402.43,1426.74,1398.11,1426.19,2278848,0
01/02/2013,16:00,1426.19,1462.43,1426.19,1462.42,3021058,0
01/03/2013,16:00,1462.42,1465.47,1455.53,1459.37,2703071,0
01/04/2013,16:00,1459.37,1467.94,1458.99,1466.47,2338336,0
01/07/2013,16:00,1466.47,1466.47,1456.62,1461.89,2261939,0
01/08/2013,16:00,1461.89,1461.89,1451.64,1457.15,2477631,0
01/09/2013,16:00,1457.15,1464.73,1457.15,1461.02,2489190,0
01/10/2013,16:00,1461.02,1472.30,1461.02,1472.12,2584821,0
01/11/2013,16:00,1472.12,1472.75,1467.58,1472.05,2244021,0
01/14/2013,16:00,1472.05,1472.05,1465.69,1470.68,2149998,0
01/15/2013,16:00,1470.67,1473.31,1463.76,1472.34,2307835,0
01/16/2013,16:00,1472.33,1473.96,1467.60,1472.63,2343506,0
01/17/2013,16:00,1472.63,1485.16,1472.63,1480.94,2862169,0
01/18/2013,16:00,1480.95,1485.98,1475.81,1485.98,3005961,0
01/22/2013,16:00,1485.98,1492.56,1481.16,1492.56,2557481,0
01/23/2013,16:00,1492.56,1496.13,1489.90,1494.81,2470172,0
01/24/2013,16:00,1494.81,1502.27,1489.46,1494.82,2672270,0
01/25/2013,16:00,1494.82,1503.26,1494.82,1502.96,2427420,0
01/28/2013,16:00,1502.96,1503.23,1496.33,1500.18,2283273,0
01/29/2013,16:00,1500.18,1509.35,1498.09,1507.84,2889268,0
01/30/2013,16:00,1507.84,1509.94,1500.11,1501.96,2584545,0
01/31/2013,16:00,1501.96,1504.19,1496.76,1498.11,2648909,0
02/01/2013,16:00,1498.11,1514.41,1498.11,1513.17,2742206,0
02/04/2013,16:00,1513.17,1513.17,1495.02,1495.71,2436210,0
02/05/2013,16:00,1495.71,1514.96,1495.71,1511.29,2718717,0
02/06/2013,16:00,1511.29,1512.53,1504.71,1512.12,2503160,0
02/07/2013,16:00,1512.12,1512.90,1498.49,1509.39,2590908,0
02/08/2013,16:00,1509.39,1518.31,1509.39,1517.93,2050226,0
02/11/2013,16:00,1517.93,1518.31,1513.61,1517.01,1823527,0
02/12/2013,16:00,1517.01,1522.29,1515.61,1519.43,2269184,0
02/13/2013,16:00,1519.43,1524.69,1515.93,1520.33,2352042,0
02/14/2013,16:00,1520.33,1523.14,1514.02,1521.38,2727320,0
02/15/2013,16:00,1521.38,1524.24,1514.14,1519.79,2751414,0
02/19/2013,16:00,1519.79,1530.94,1519.79,1530.94,2532696,0
02/20/2013,16:00,1530.94,1530.94,1511.41,1511.95,2696890,0
02/21/2013,16:00,1511.95,1511.95,1497.29,1502.42,2831169,0
02/22/2013,16:00,1502.42,1515.64,1502.42,1515.60,2310120,0
02/25/2013,16:00,1515.60,1525.84,1487.85,1487.85,2684150,0
02/26/2013,16:00,1487.85,1498.99,1485.01,1496.94,2657969,0
02/27/2013,16:00,1496.94,1520.08,1494.88,1515.99,2304736,0
02/28/2013,16:00,1515.99,1525.34,1514.46,1514.68,2345791,0
03/01/2013,16:00,1514.68,1519.99,1501.48,1518.20,2396482,0
03/04/2013,16:00,1518.20,1525.27,1512.29,1525.20,2144718,0
03/05/2013,16:00,1525.20,1543.47,1525.20,1539.79,2391241,0
03/06/2013,16:00,1539.79,1545.25,1538.11,1541.46,2395609,0
03/07/2013,16:00,1541.46,1545.78,1541.46,1544.26,2234862,0
03/08/2013,16:00,1544.26,1552.48,1542.94,1551.18,2301398,0
03/11/2013,16:00,1551.15,1556.27,1547.36,1556.22,2021009,0
03/12/2013,16:00,1556.22,1556.77,1548.24,1552.48,2126276,0
03/13/2013,16:00,1552.48,1556.39,1548.25,1554.52,1905703,0
03/14/2013,16:00,1554.52,1563.32,1554.52,1563.23,2169263,0
03/15/2013,16:00,1563.21,1563.62,1555.74,1560.70,3242948,0
03/18/2013,16:00,1560.70,1560.70,1545.13,1552.10,2145936,0
03/19/2013,16:00,1552.10,1557.25,1538.57,1548.34,2592080,0
03/20/2013,16:00,1548.34,1561.56,1548.34,1558.71,2264799,0
03/21/2013,16:00,1558.71,1558.71,1543.55,1545.80,2324031,0
03/22/2013,16:00,1545.90,1557.74,1545.90,1556.89,2080644,0
03/25/2013,16:00,1556.89,1564.91,1546.22,1551.69,2260983,0
03/26/2013,16:00,1551.69,1563.95,1551.69,1563.77,1969531,0
03/27/2013,16:00,1563.75,1564.07,1551.90,1562.85,1945502,0
03/28/2013,16:00,1562.86,1570.28,1561.08,1569.19,2163775,0
04/01/2013,16:00,1569.18,1570.57,1558.47,1562.17,1849802,0
04/02/2013,16:00,1562.17,1573.66,1562.17,1570.25,2164260,0
04/03/2013,16:00,1570.25,1571.47,1549.80,1553.69,2651540,0
04/04/2013,16:00,1553.69,1562.60,1552.52,1559.98,2127338,0
04/05/2013,16:00,1559.98,1559.98,1539.50,1553.28,2335516,0
04/08/2013,16:00,1553.26,1563.07,1548.63,1563.07,1947846,0
04/09/2013,16:00,1563.11,1573.89,1560.92,1568.61,2207998,0
04/10/2013,16:00,1568.61,1589.07,1568.61,1587.73,2304110,0
04/11/2013,16:00,1587.73,1597.35,1586.17,1593.37,2439099,0
04/12/2013,16:00,1593.30,1593.30,1579.97,1588.85,2135786,0
04/15/2013,16:00,1588.84,1588.84,1552.28,1552.36,3099685,0
04/16/2013,16:00,1552.36,1575.35,1552.36,1574.57,2447047,0
